epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.753,1.48903,2.294,1.37192,0.73026,0.18369,0.19431,0.0952,1.82342,1.98108,1.64562,0.000331502,0.000331502,0.0671813
2,624.505,1.42564,1.69308,1.34738,0.5657,0.24034,0.23068,0.11595,1.72931,1.80476,1.51462,0.000642896,0.000642896,0.0341594
3,943.996,1.36577,1.55676,1.30676,0.61435,0.19278,0.23254,0.11131,1.74482,1.7119,1.54193,0.000932289,0.000932289,0.00111544
4,1261.51,1.31845,1.4631,1.27779,0.81103,0.18699,0.25386,0.13316,1.69763,1.66485,1.51658,0.000901,0.000901,0.000901
5,1576.57,1.26438,1.35991,1.24936,0.6849,0.19158,0.24449,0.12537,1.76596,1.75833,1.52335,0.000868,0.000868,0.000868
6,312.785,1.26846,1.37903,1.23912,0.65263,0.24674,0.27433,0.14686,1.71701,1.69055,1.49334,0.000835,0.000835,0.000835
7,656.712,1.23915,1.29511,1.22336,0.66767,0.22838,0.28668,0.14741,1.68025,1.58229,1.48876,0.000802,0.000802,0.000802
8,993.299,1.19321,1.24515,1.20028,0.52227,0.25375,0.30501,0.15129,1.76119,1.56112,1.51461,0.000769,0.000769,0.000769
9,1345.4,1.16257,1.19891,1.1809,0.48568,0.27028,0.3208,0.17305,1.66499,1.54834,1.46065,0.000736,0.000736,0.000736
10,1721.85,1.13796,1.15029,1.1719,0.42185,0.27543,0.30211,0.15481,1.70185,1.54738,1.50072,0.000703,0.000703,0.000703
11,2068.46,1.15458,1.18998,1.17871,0.37303,0.27113,0.29129,0.14607,1.6931,1.53607,1.47417,0.00067,0.00067,0.00067
12,2409.38,1.12179,1.14517,1.15772,0.436,0.28314,0.30923,0.1636,1.73145,1.58401,1.5182,0.000637,0.000637,0.000637
13,2751.25,1.11833,1.11286,1.15778,0.67198,0.24013,0.29691,0.15621,1.7,1.56424,1.50255,0.000604,0.000604,0.000604
14,3079.27,1.11044,1.09451,1.15258,0.42037,0.27047,0.30057,0.15437,1.69339,1.48512,1.51814,0.000571,0.000571,0.000571
15,3406.43,1.10724,1.09024,1.14758,0.47342,0.25114,0.2981,0.15294,1.72673,1.56213,1.50597,0.000538,0.000538,0.000538
16,3761.98,1.07285,1.05884,1.13164,0.52242,0.24709,0.30136,0.16238,1.64338,1.52011,1.45545,0.000505,0.000505,0.000505
17,4101.52,1.07867,1.05002,1.13194,0.4587,0.28095,0.30243,0.16313,1.67587,1.65096,1.47818,0.000472,0.000472,0.000472
